# Menlo Systems GmbH ScanControl
# Program Version 1.8.1
# Start: -385.00000000 ps, Average over 1 waveforms. Timestamp: 2024-02-06T16:01:21
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-385.01883430	0.00000000
-384.98550096	0.00000001
-384.95216763	-0.00000001
-384.91883430	-0.00000012
-384.88550096	0.00000018
-384.85216763	-0.00000015
-384.81883430	0.00000013
-384.78550096	-0.00000111
-384.75216763	-0.00000042
-384.71883430	0.00000011
-384.68550096	0.00000081
-384.65216763	-0.00000056
-384.61883430	-0.00000183
-384.58550096	0.00000095
-384.55216763	-0.00000019
-384.51883430	-0.00000265
-384.48550096	-0.00000485
-384.45216763	-0.00000494
-384.41883430	0.00000400
-384.38550096	0.00000181
-384.35216763	0.00000107
-384.31883430	-0.00000120
-384.28550096	-0.00000016
-384.25216763	0.00000661
-384.21883430	0.00000467
-384.18550097	-0.00000102
-384.15216763	0.00000305
-384.11883430	0.00001134
-384.08550097	0.00000631
-384.05216763	0.00001031
-384.01883430	0.00000820
-383.98550097	0.00001447
-383.95216763	0.00002563
-383.91883430	0.00000063
-383.88550097	0.00001047
-383.85216763	0.00000981
-383.81883430	0.00002995
-383.78550097	0.00000687
-383.75216763	0.00002394
-383.71883430	0.00002996
-383.68550097	0.00002487
-383.65216763	0.00002920
-383.61883430	0.00004812
-383.58550097	0.00001885
-383.55216763	0.00003992
-383.51883430	0.00003553
-383.48550097	0.00005092
-383.45216763	0.00001838
-383.41883430	0.00008025
-383.38550097	0.00004759
-383.35216763	0.00007310
-383.31883430	0.00007764
-383.28550097	0.00003114
-383.25216763	0.00003131
-383.21883430	0.00001382
-383.18550097	0.00003743
-383.15216763	0.00003443
-383.11883430	0.00001529
-383.08550097	0.00002737
-383.05216763	-0.00001657
-383.01883430	0.00001859
-382.98550097	0.00006928
-382.95216763	-0.00000245
-382.91883430	0.00002264
-382.88550097	-0.00001983
-382.85216763	0.00006016
-382.81883430	-0.00003356
-382.78550097	-0.00003137
-382.75216763	-0.00002342
-382.71883430	0.00000724
-382.68550097	-0.00005483
-382.65216763	-0.00005638
-382.61883430	-0.00005753
-382.58550097	0.00001403
-382.55216763	-0.00007022
-382.51883430	-0.00004521
-382.48550097	-0.00004519
-382.45216763	-0.00008483
-382.41883430	-0.00003565
-382.38550097	-0.00002977
-382.35216763	-0.00002399
-382.31883430	-0.00006543
-382.28550097	-0.00006088
-382.25216763	-0.00003398
-382.21883430	0.00002633
-382.18550097	-0.00004901
-382.15216763	0.00000399
-382.11883430	-0.00000232
-382.08550097	0.00010865
-382.05216763	0.00003900
-382.01883430	0.00003677
-381.98550097	0.00002315
-381.95216763	-0.00009129
-381.91883430	-0.00006176
-381.88550097	0.00004070
-381.85216763	-0.00002377
-381.81883430	0.00004211
-381.78550097	-0.00012703
-381.75216763	-0.00008629
-381.71883430	0.00009450
-381.68550097	0.00003832
-381.65216763	-0.00001640
-381.61883430	0.00000386
-381.58550097	0.00007049
-381.55216763	-0.00000551
-381.51883430	-0.00012836
-381.48550097	-0.00017109
-381.45216763	-0.00004474
-381.41883430	0.00000477
-381.38550097	0.00005466
-381.35216763	0.00005808
-381.31883430	0.00028267
-381.28550097	0.00003184
-381.25216763	-0.00003723
-381.21883430	0.00014632
-381.18550097	0.00017279
-381.15216763	-0.00006454
-381.11883430	0.00028311
-381.08550097	0.00000853
-381.05216764	0.00019832
-381.01883430	0.00017097
-380.98550097	-0.00002184
-380.95216764	0.00005084
-380.91883430	0.00000563
-380.88550097	0.00011522
-380.85216764	0.00006906
-380.81883430	0.00019851
-380.78550097	0.00002305
-380.75216764	0.00005373
-380.71883430	0.00027295
-380.68550097	0.00016009
-380.65216764	0.00016492
-380.61883430	0.00000372
-380.58550097	0.00031905
-380.55216764	0.00031242
-380.51883430	0.00025986
-380.48550097	-0.00002796
-380.45216764	0.00021174
-380.41883430	0.00021820
-380.38550097	0.00018351
-380.35216764	0.00008470
-380.31883430	0.00035904
-380.28550097	0.00050597
-380.25216764	0.00028962
-380.21883430	0.00017417
-380.18550097	0.00052259
-380.15216764	0.00028836
-380.11883430	0.00024230
-380.08550097	0.00020211
-380.05216764	0.00018968
-380.01883430	-0.00014641
-379.98550097	0.00001384
-379.95216764	0.00023383
-379.91883430	-0.00009932
-379.88550097	0.00005883
-379.85216764	-0.00022189
-379.81883430	0.00011992
-379.78550097	0.00017269
-379.75216764	0.00034851
-379.71883430	0.00003074
-379.68550097	0.00003494
-379.65216764	-0.00016332
-379.61883430	0.00012644
-379.58550097	0.00028949
-379.55216764	0.00029380
-379.51883430	0.00032340
-379.48550097	0.00029935
-379.45216764	0.00035738
-379.41883430	0.00030916
-379.38550097	0.00073899
-379.35216764	0.00057849
-379.31883430	0.00029450
-379.28550097	0.00015852
-379.25216764	0.00000797
-379.21883430	0.00072499
-379.18550097	0.00006474
-379.15216764	0.00032233
-379.11883430	0.00045340
-379.08550097	0.00045716
-379.05216764	0.00051919
-379.01883430	0.00052882
-378.98550097	0.00044599
-378.95216764	0.00041496
-378.91883430	0.00066545
-378.88550097	0.00029302
-378.85216764	0.00019389
-378.81883430	0.00058978
-378.78550097	0.00084755
-378.75216764	0.00069363
-378.71883430	0.00017911
-378.68550097	0.00035407
-378.65216764	-0.00028137
-378.61883430	0.00079462
-378.58550097	0.00080011
-378.55216764	0.00087652
-378.51883430	0.00020238
-378.48550097	0.00019220
-378.45216764	0.00001301
-378.41883430	0.00055411
-378.38550097	0.00058873
-378.35216764	0.00029700
-378.31883430	0.00078487
-378.28550097	0.00006199
-378.25216764	0.00021029
-378.21883430	-0.00025242
-378.18550097	0.00065291
-378.15216764	-0.00026609
-378.11883430	0.00005018
-378.08550097	-0.00006047
-378.05216764	0.00005035
-378.01883430	0.00009689
-377.98550097	-0.00017242
-377.95216764	-0.00010494
-377.91883430	-0.00002334
-377.88550097	0.00029770
-377.85216764	0.00086040
-377.81883431	-0.00025219
-377.78550097	0.00009629
-377.75216764	-0.00004803
-377.71883431	0.00087253
-377.68550097	0.00026666
-377.65216764	0.00022871
-377.61883431	0.00133338
-377.58550097	0.00012795
-377.55216764	0.00005067
-377.51883431	0.00031507
-377.48550097	0.00053625
-377.45216764	0.00055768
-377.41883431	0.00019479
-377.38550097	0.00062816
-377.35216764	0.00069222
-377.31883431	0.00087770
-377.28550097	0.00024761
-377.25216764	0.00061858
-377.21883431	-0.00037021
-377.18550097	-0.00028477
-377.15216764	0.00034023
-377.11883431	0.00011460
-377.08550097	0.00052933
-377.05216764	0.00078291
-377.01883431	0.00087882
-376.98550097	0.00040571
-376.95216764	-0.00017128
-376.91883431	0.00041957
-376.88550097	0.00083318
-376.85216764	-0.00010470
-376.81883431	0.00002344
-376.78550097	0.00075489
-376.75216764	0.00096882
-376.71883431	0.00040725
-376.68550097	0.00018194
-376.65216764	0.00002076
-376.61883431	0.00032890
-376.58550097	0.00012383
-376.55216764	0.00064808
-376.51883431	0.00059903
-376.48550097	0.00038747
-376.45216764	0.00058019
-376.41883431	0.00142255
-376.38550097	0.00009222
-376.35216764	0.00080934
-376.31883431	0.00022682
-376.28550097	0.00151404
-376.25216764	0.00079515
-376.21883431	0.00024203
-376.18550097	0.00065621
-376.15216764	0.00128503
-376.11883431	0.00091426
-376.08550097	0.00003724
-376.05216764	0.00039919
-376.01883431	0.00057982
-375.98550097	0.00087019
-375.95216764	0.00053821
-375.91883431	0.00045463
-375.88550097	0.00094983
-375.85216764	0.00021429
-375.81883431	0.00033131
-375.78550097	-0.00054819
-375.75216764	0.00015160
-375.71883431	-0.00028311
-375.68550097	-0.00062434
-375.65216764	-0.00027596
-375.61883431	-0.00037953
-375.58550097	-0.00057064
-375.55216764	-0.00006549
-375.51883431	0.00086717
-375.48550097	-0.00005876
-375.45216764	-0.00032417
-375.41883431	0.00060256
-375.38550097	0.00073164
-375.35216764	-0.00009996
-375.31883431	0.00074688
-375.28550097	0.00007830
-375.25216764	-0.00015712
-375.21883431	-0.00046014
-375.18550097	-0.00052284
-375.15216764	0.00041127
-375.11883431	0.00028844
-375.08550097	-0.00103742
