# Menlo Systems GmbH ScanControl
# Program Version 1.8.1
# Start: -385.00000000 ps, Average over 1 waveforms. Timestamp: 2024-02-15T20:00:26
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-385.01887960	0.00000000
-384.98554626	-0.00000001
-384.95221292	-0.00000005
-384.91887959	-0.00000008
-384.88554625	-0.00000021
-384.85221291	0.00000012
-384.81887957	-0.00000003
-384.78554623	0.00000052
-384.75221289	0.00000002
-384.71887955	0.00000023
-384.68554622	0.00000204
-384.65221288	-0.00000049
-384.61887954	-0.00000025
-384.58554620	0.00000523
-384.55221286	0.00000036
-384.51887952	0.00000268
-384.48554618	-0.00000029
-384.45221285	-0.00000465
-384.41887951	-0.00000342
-384.38554617	-0.00000341
-384.35221283	-0.00000115
-384.31887949	0.00000461
-384.28554615	-0.00000165
-384.25221281	0.00000646
-384.21887948	-0.00000089
-384.18554614	0.00000111
-384.15221280	-0.00000435
-384.11887946	0.00000492
-384.08554612	-0.00000095
-384.05221278	-0.00000672
-384.01887944	-0.00000034
-383.98554611	-0.00000054
-383.95221277	0.00000631
-383.91887943	-0.00000030
-383.88554609	-0.00001568
-383.85221275	0.00000427
-383.81887941	-0.00000169
-383.78554607	0.00000108
-383.75221273	0.00000594
-383.71887940	0.00001264
-383.68554606	-0.00001598
-383.65221272	0.00000174
-383.61887938	-0.00001114
-383.58554604	-0.00001611
-383.55221270	-0.00000232
-383.51887936	-0.00000698
-383.48554603	-0.00001161
-383.45221269	-0.00000404
-383.41887935	-0.00002995
-383.38554601	-0.00002077
-383.35221267	-0.00000384
-383.31887933	-0.00005081
-383.28554599	0.00000380
-383.25221266	-0.00003351
-383.21887932	-0.00003050
-383.18554598	-0.00002370
-383.15221264	0.00002281
-383.11887930	-0.00002779
-383.08554596	-0.00001273
-383.05221262	0.00004582
-383.01887929	0.00000085
-382.98554595	-0.00004691
-382.95221261	-0.00003844
-382.91887927	0.00002936
-382.88554593	-0.00002044
-382.85221259	0.00004458
-382.81887925	-0.00005830
-382.78554592	-0.00005699
-382.75221258	0.00001112
-382.71887924	-0.00001578
-382.68554590	-0.00004250
-382.65221256	0.00009877
-382.61887922	0.00003071
-382.58554588	0.00001015
-382.55221255	-0.00003638
-382.51887921	-0.00002493
-382.48554587	0.00000944
-382.45221253	-0.00002684
-382.41887919	0.00001017
-382.38554585	0.00000471
-382.35221251	0.00002017
-382.31887918	0.00013055
-382.28554584	-0.00014021
-382.25221250	-0.00017383
-382.21887916	0.00009821
-382.18554582	-0.00003040
-382.15221248	-0.00003237
-382.11887914	-0.00011313
-382.08554580	0.00002526
-382.05221247	-0.00001700
-382.01887913	0.00003513
-381.98554579	-0.00016709
-381.95221245	-0.00006370
-381.91887911	0.00007960
-381.88554577	0.00002829
-381.85221243	-0.00002832
-381.81887910	0.00009673
-381.78554576	0.00014241
-381.75221242	0.00009074
-381.71887908	0.00009891
-381.68554574	0.00008258
-381.65221240	-0.00008694
-381.61887906	-0.00013203
-381.58554573	-0.00012672
-381.55221239	-0.00021718
-381.51887905	-0.00014752
-381.48554571	-0.00006880
-381.45221237	-0.00010360
-381.41887903	-0.00014574
-381.38554569	-0.00000253
-381.35221236	-0.00003782
-381.31887902	0.00005820
-381.28554568	0.00004944
-381.25221234	-0.00010777
-381.21887900	0.00005133
-381.18554566	0.00003822
-381.15221232	0.00000522
-381.11887899	-0.00020712
-381.08554565	-0.00005177
-381.05221231	-0.00001642
-381.01887897	0.00005894
-380.98554563	-0.00007947
-380.95221229	-0.00014599
-380.91887895	-0.00018198
-380.88554562	-0.00005045
-380.85221228	-0.00012698
-380.81887894	0.00004459
-380.78554560	-0.00020662
-380.75221226	-0.00000038
-380.71887892	-0.00001198
-380.68554558	0.00010127
-380.65221225	-0.00011786
-380.61887891	-0.00019797
-380.58554557	0.00001969
-380.55221223	-0.00017608
-380.51887889	-0.00009734
-380.48554555	-0.00028412
-380.45221221	-0.00016565
-380.41887887	-0.00011004
-380.38554554	-0.00003828
-380.35221220	-0.00026449
-380.31887886	-0.00041261
-380.28554552	-0.00000092
-380.25221218	-0.00013638
-380.21887884	-0.00016610
-380.18554550	0.00003636
-380.15221217	-0.00038832
-380.11887883	-0.00044414
-380.08554549	-0.00027478
-380.05221215	-0.00041068
-380.01887881	-0.00016166
-379.98554547	-0.00027224
-379.95221213	-0.00023373
-379.91887880	-0.00006320
-379.88554546	-0.00031466
-379.85221212	-0.00001856
-379.81887878	-0.00051538
-379.78554544	-0.00017602
-379.75221210	-0.00003212
-379.71887876	-0.00039670
-379.68554543	-0.00011302
-379.65221209	-0.00023855
-379.61887875	-0.00005166
-379.58554541	-0.00013143
-379.55221207	-0.00027511
-379.51887873	-0.00017299
-379.48554539	0.00005289
-379.45221206	-0.00020702
-379.41887872	-0.00015577
-379.38554538	0.00000542
-379.35221204	-0.00037423
-379.31887870	-0.00014767
-379.28554536	-0.00032128
-379.25221202	-0.00019130
-379.21887869	-0.00035728
-379.18554535	-0.00014215
-379.15221201	-0.00014117
-379.11887867	-0.00024402
-379.08554533	-0.00016936
-379.05221199	0.00013144
-379.01887865	-0.00062095
-378.98554532	0.00006508
-378.95221198	0.00024465
-378.91887864	-0.00052572
-378.88554530	-0.00009027
-378.85221196	-0.00014913
-378.81887862	-0.00020066
-378.78554528	-0.00016622
-378.75221194	-0.00017840
-378.71887861	-0.00032803
-378.68554527	-0.00002580
-378.65221193	0.00010003
-378.61887859	0.00009335
-378.58554525	-0.00011616
-378.55221191	0.00035711
-378.51887857	-0.00014804
-378.48554524	0.00019765
-378.45221190	-0.00024997
-378.41887856	-0.00007259
-378.38554522	-0.00020914
-378.35221188	0.00017263
-378.31887854	-0.00015066
-378.28554520	-0.00010692
-378.25221187	0.00004209
-378.21887853	0.00037371
-378.18554519	0.00001280
-378.15221185	-0.00005208
-378.11887851	0.00019021
-378.08554517	-0.00021238
-378.05221183	-0.00041465
-378.01887850	0.00003519
-377.98554516	0.00039252
-377.95221182	0.00018475
-377.91887848	-0.00070487
-377.88554514	0.00074362
-377.85221180	0.00006949
-377.81887846	0.00016140
-377.78554513	0.00020944
-377.75221179	0.00008497
-377.71887845	0.00044134
-377.68554511	-0.00041573
-377.65221177	-0.00042599
-377.61887843	0.00021702
-377.58554509	-0.00030451
-377.55221176	-0.00115458
-377.51887842	-0.00058065
-377.48554508	-0.00002494
-377.45221174	-0.00068625
-377.41887840	-0.00037870
-377.38554506	-0.00064716
-377.35221172	-0.00051263
-377.31887839	-0.00022462
-377.28554505	-0.00076065
-377.25221171	-0.00071620
-377.21887837	-0.00080736
-377.18554503	-0.00099165
-377.15221169	-0.00004049
-377.11887835	-0.00002945
-377.08554501	-0.00072729
-377.05221168	-0.00121740
-377.01887834	-0.00030915
-376.98554500	0.00001127
-376.95221166	-0.00092394
-376.91887832	-0.00028991
-376.88554498	-0.00052682
-376.85221164	-0.00046212
-376.81887831	-0.00058309
-376.78554497	-0.00075656
-376.75221163	-0.00039581
-376.71887829	-0.00044464
-376.68554495	-0.00071722
-376.65221161	-0.00057199
-376.61887827	-0.00022031
-376.58554494	-0.00079458
-376.55221160	-0.00065756
-376.51887826	-0.00103437
-376.48554492	-0.00075889
-376.45221158	-0.00076767
-376.41887824	-0.00098711
-376.38554490	0.00004821
-376.35221157	-0.00062652
-376.31887823	-0.00107474
-376.28554489	-0.00035932
-376.25221155	-0.00018515
-376.21887821	-0.00063251
-376.18554487	-0.00076967
-376.15221153	-0.00025036
-376.11887820	-0.00098564
-376.08554486	-0.00121449
-376.05221152	-0.00020804
-376.01887818	-0.00091423
-375.98554484	-0.00039992
-375.95221150	-0.00030994
-375.91887816	-0.00190690
-375.88554483	-0.00164583
-375.85221149	-0.00120377
-375.81887815	-0.00088248
-375.78554481	-0.00124694
-375.75221147	-0.00083438
-375.71887813	-0.00166314
-375.68554479	-0.00133958
-375.65221146	-0.00029817
-375.61887812	-0.00058602
-375.58554478	-0.00242268
-375.55221144	-0.00085484
-375.51887810	0.00014869
-375.48554476	-0.00091794
-375.45221142	-0.00123455
-375.41887808	-0.00074097
-375.38554475	-0.00070244
-375.35221141	-0.00137681
-375.31887807	-0.00165767
-375.28554473	-0.00144084
-375.25221139	-0.00136380
-375.21887805	-0.00134767
-375.18554471	-0.00146071
-375.15221138	-0.00201538
-375.11887804	-0.00183349
-375.08554470	-0.00141542
-375.05221136	-0.00154426
-375.01887802	-0.00066457
-374.98554468	-0.00186803
-374.95221134	-0.00169589
-374.91887801	-0.00186254
-374.88554467	-0.00091003
-374.85221133	-0.00021220
-374.81887799	-0.00228979
-374.78554465	-0.00137915
-374.75221131	-0.00132960
-374.71887797	-0.00162643
-374.68554464	-0.00187264
-374.65221130	-0.00032889
-374.61887796	-0.00111352
-374.58554462	-0.00014758
-374.55221128	-0.00175447
-374.51887794	-0.00181694
-374.48554460	-0.00117800
-374.45221127	-0.00104494
-374.41887793	-0.00107182
-374.38554459	-0.00173222
-374.35221125	-0.00228494
-374.31887791	-0.00204799
-374.28554457	-0.00191360
-374.25221123	-0.00202076
-374.21887790	-0.00121270
-374.18554456	-0.00087594
-374.15221122	-0.00277230
-374.11887788	-0.00091617
-374.08554454	-0.00128825
-374.05221120	-0.00115179
-374.01887786	-0.00163328
-373.98554453	-0.00099706
-373.95221119	-0.00125489
-373.91887785	-0.00038776
-373.88554451	-0.00192796
-373.85221117	-0.00137518
-373.81887783	-0.00165072
-373.78554449	-0.00182270
-373.75221115	-0.00151544
-373.71887782	-0.00159283
-373.68554448	-0.00077056
-373.65221114	-0.00219931
-373.61887780	-0.00218854
-373.58554446	-0.00054817
-373.55221112	-0.00041843
-373.51887778	-0.00067879
-373.48554445	-0.00108079
-373.45221111	-0.00065274
-373.41887777	-0.00091357
-373.38554443	-0.00042181
-373.35221109	-0.00146271
-373.31887775	-0.00117383
-373.28554441	-0.00237927
-373.25221108	-0.00341972
-373.21887774	-0.00003575
-373.18554440	-0.00063985
-373.15221106	-0.00182961
-373.11887772	0.00056240
-373.08554438	-0.00136563
-373.05221104	-0.00163671
-373.01887771	-0.00218324
-372.98554437	-0.00205615
-372.95221103	-0.00084634
-372.91887769	-0.00150648
-372.88554435	-0.00269773
-372.85221101	-0.00139030
-372.81887767	-0.00116086
-372.78554434	-0.00134594
-372.75221100	-0.00107600
-372.71887766	-0.00203019
-372.68554432	-0.00234025
-372.65221098	-0.00177307
-372.61887764	-0.00150018
-372.58554430	-0.00206572
-372.55221097	-0.00190386
-372.51887763	-0.00166475
-372.48554429	-0.00236270
-372.45221095	-0.00129741
-372.41887761	-0.00102128
-372.38554427	-0.00080199
-372.35221093	0.00003189
-372.31887760	-0.00167534
-372.28554426	-0.00159121
-372.25221092	-0.00202804
