# Menlo Systems GmbH ScanControl
# Program Version 1.8.1
# Start: -385.00000000 ps, Average over 1 waveforms. Timestamp: 2024-02-15T20:06:16
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-385.01887960	0.00000000
-384.98554626	0.00000000
-384.95221292	0.00000002
-384.91887959	-0.00000007
-384.88554625	0.00000026
-384.85221291	-0.00000008
-384.81887957	0.00000019
-384.78554623	0.00000004
-384.75221289	0.00000014
-384.71887955	-0.00000046
-384.68554622	-0.00000314
-384.65221288	-0.00000065
-384.61887954	0.00000106
-384.58554620	0.00000181
-384.55221286	0.00000208
-384.51887952	0.00000222
-384.48554618	0.00000633
-384.45221285	-0.00000059
-384.41887951	-0.00000109
-384.38554617	-0.00000629
-384.35221283	0.00000301
-384.31887949	-0.00000625
-384.28554615	0.00000895
-384.25221281	-0.00000204
-384.21887948	-0.00000606
-384.18554614	0.00000340
-384.15221280	-0.00000934
-384.11887946	-0.00000961
-384.08554612	-0.00000272
-384.05221278	-0.00000272
-384.01887944	-0.00000868
-383.98554611	0.00000546
-383.95221277	0.00000078
-383.91887943	-0.00000983
-383.88554609	0.00001224
-383.85221275	-0.00000637
-383.81887941	-0.00000438
-383.78554607	0.00001437
-383.75221273	-0.00000010
-383.71887940	-0.00003251
-383.68554606	-0.00000008
-383.65221272	-0.00001416
-383.61887938	-0.00000946
-383.58554604	-0.00003373
-383.55221270	-0.00001480
-383.51887936	-0.00002616
-383.48554603	0.00000233
-383.45221269	-0.00001998
-383.41887935	-0.00003739
-383.38554601	-0.00004493
-383.35221267	-0.00000027
-383.31887933	-0.00003869
-383.28554599	-0.00001943
-383.25221266	0.00002068
-383.21887932	-0.00000672
-383.18554598	-0.00002930
-383.15221264	-0.00003700
-383.11887930	-0.00005480
-383.08554596	-0.00007262
-383.05221262	-0.00001961
-383.01887929	-0.00005331
-382.98554595	-0.00008794
-382.95221261	0.00000028
-382.91887927	-0.00000974
-382.88554593	-0.00001251
-382.85221259	0.00004837
-382.81887925	0.00000588
-382.78554592	-0.00003820
-382.75221258	-0.00002520
-382.71887924	-0.00001558
-382.68554590	-0.00000025
-382.65221256	-0.00002165
-382.61887922	-0.00006080
-382.58554588	-0.00007413
-382.55221255	-0.00002381
-382.51887921	-0.00004709
-382.48554587	-0.00004377
-382.45221253	-0.00000001
-382.41887919	-0.00006498
-382.38554585	-0.00005888
-382.35221251	-0.00000703
-382.31887918	-0.00008866
-382.28554584	-0.00013654
-382.25221250	0.00005387
-382.21887916	0.00001504
-382.18554582	0.00000653
-382.15221248	-0.00000767
-382.11887914	-0.00010221
-382.08554580	0.00004789
-382.05221247	-0.00007223
-382.01887913	-0.00001071
-381.98554579	0.00000872
-381.95221245	-0.00012151
-381.91887911	-0.00008312
-381.88554577	-0.00003012
-381.85221243	0.00007471
-381.81887910	-0.00002730
-381.78554576	-0.00009769
-381.75221242	-0.00010915
-381.71887908	-0.00012424
-381.68554574	0.00011089
-381.65221240	-0.00001439
-381.61887906	-0.00025785
-381.58554573	-0.00008749
-381.55221239	-0.00010126
-381.51887905	0.00013600
-381.48554571	-0.00010478
-381.45221237	0.00012185
-381.41887903	-0.00031026
-381.38554569	0.00007617
-381.35221236	-0.00006089
-381.31887902	-0.00017708
-381.28554568	-0.00009158
-381.25221234	0.00003478
-381.21887900	-0.00043780
-381.18554566	0.00009303
-381.15221232	-0.00004892
-381.11887899	-0.00001826
-381.08554565	0.00015519
-381.05221231	-0.00034520
-381.01887897	0.00008326
-380.98554563	-0.00026257
-380.95221229	-0.00009337
-380.91887895	-0.00013908
-380.88554562	0.00013525
-380.85221228	0.00014456
-380.81887894	-0.00020558
-380.78554560	-0.00023086
-380.75221226	-0.00030681
-380.71887892	0.00034570
-380.68554558	-0.00010867
-380.65221225	0.00011143
-380.61887891	-0.00005089
-380.58554557	-0.00004638
-380.55221223	-0.00037668
-380.51887889	0.00007770
-380.48554555	-0.00013121
-380.45221221	-0.00027956
-380.41887887	-0.00026907
-380.38554554	-0.00013572
-380.35221220	-0.00013827
-380.31887886	-0.00009637
-380.28554552	-0.00037828
-380.25221218	-0.00031861
-380.21887884	-0.00010041
-380.18554550	-0.00045389
-380.15221217	-0.00005778
-380.11887883	-0.00001554
-380.08554549	-0.00029887
-380.05221215	-0.00024042
-380.01887881	-0.00028586
-379.98554547	-0.00037769
-379.95221213	0.00027237
-379.91887880	0.00025447
-379.88554546	-0.00057157
-379.85221212	0.00006655
-379.81887878	0.00013164
-379.78554544	-0.00021567
-379.75221210	-0.00009771
-379.71887876	-0.00024121
-379.68554543	-0.00035580
-379.65221209	0.00046384
-379.61887875	-0.00004787
-379.58554541	-0.00030760
-379.55221207	0.00002270
-379.51887873	-0.00022385
-379.48554539	-0.00018811
-379.45221206	0.00046948
-379.41887872	0.00018461
-379.38554538	-0.00021530
-379.35221204	-0.00007269
-379.31887870	0.00030108
-379.28554536	0.00007134
-379.25221202	-0.00025072
-379.21887869	-0.00022918
-379.18554535	0.00020107
-379.15221201	-0.00017187
-379.11887867	-0.00029618
-379.08554533	-0.00021303
-379.05221199	-0.00000278
-379.01887865	-0.00012708
-378.98554532	-0.00067732
-378.95221198	0.00005207
-378.91887864	-0.00027575
-378.88554530	-0.00040907
-378.85221196	0.00017596
-378.81887862	-0.00007558
-378.78554528	-0.00042673
-378.75221194	-0.00003110
-378.71887861	-0.00052512
-378.68554527	0.00007623
-378.65221193	0.00009422
-378.61887859	-0.00003463
-378.58554525	0.00002903
-378.55221191	0.00015923
-378.51887857	0.00035234
-378.48554524	-0.00009215
-378.45221190	-0.00003666
-378.41887856	-0.00021368
-378.38554522	-0.00007370
-378.35221188	-0.00032606
-378.31887854	-0.00018566
-378.28554520	-0.00003590
-378.25221187	-0.00019138
-378.21887853	0.00008146
-378.18554519	-0.00034121
-378.15221185	0.00030423
-378.11887851	-0.00018721
-378.08554517	-0.00058578
-378.05221183	0.00010010
-378.01887850	-0.00022744
-377.98554516	-0.00031808
-377.95221182	-0.00035455
-377.91887848	-0.00045110
-377.88554514	-0.00000571
-377.85221180	-0.00024514
-377.81887846	-0.00033606
-377.78554513	-0.00000111
-377.75221179	-0.00041092
-377.71887845	-0.00024296
-377.68554511	-0.00067807
-377.65221177	0.00078195
-377.61887843	-0.00019169
-377.58554509	0.00036360
-377.55221176	0.00064639
-377.51887842	0.00025791
-377.48554508	0.00032340
-377.45221174	-0.00039495
-377.41887840	0.00041063
-377.38554506	0.00059248
-377.35221172	-0.00021506
-377.31887839	-0.00010020
-377.28554505	0.00026206
-377.25221171	0.00028932
-377.21887837	-0.00078946
-377.18554503	0.00059026
-377.15221169	-0.00022736
-377.11887835	0.00028094
-377.08554501	-0.00052002
-377.05221168	0.00033685
-377.01887834	-0.00018825
-376.98554500	0.00045332
-376.95221166	0.00031165
-376.91887832	0.00004856
-376.88554498	0.00005034
-376.85221164	-0.00037725
-376.81887831	-0.00059336
-376.78554497	0.00004266
-376.75221163	0.00005309
-376.71887829	-0.00005407
-376.68554495	-0.00014822
-376.65221161	-0.00090719
-376.61887827	-0.00050719
-376.58554494	0.00005058
-376.55221160	-0.00025866
-376.51887826	0.00040907
-376.48554492	-0.00002771
-376.45221158	-0.00031912
-376.41887824	0.00003448
-376.38554490	0.00025751
-376.35221157	0.00021975
-376.31887823	0.00014998
-376.28554489	0.00075264
-376.25221155	0.00041859
-376.21887821	0.00005526
-376.18554487	0.00011662
-376.15221153	0.00116113
-376.11887820	-0.00019834
-376.08554486	0.00089337
-376.05221152	0.00069434
-376.01887818	0.00010799
-375.98554484	0.00056093
-375.95221150	0.00017519
-375.91887816	0.00044377
-375.88554483	0.00056097
-375.85221149	0.00130626
-375.81887815	0.00165988
-375.78554481	0.00038649
-375.75221147	0.00046293
-375.71887813	-0.00006656
-375.68554479	-0.00012915
-375.65221146	0.00026009
-375.61887812	0.00084224
-375.58554478	-0.00020949
-375.55221144	-0.00002751
-375.51887810	0.00033801
-375.48554476	0.00078186
-375.45221142	0.00060527
-375.41887808	-0.00042757
-375.38554475	0.00029624
-375.35221141	-0.00011652
-375.31887807	0.00010511
-375.28554473	0.00036255
-375.25221139	0.00048001
-375.21887805	0.00050315
-375.18554471	-0.00032035
-375.15221138	0.00056106
-375.11887804	-0.00052521
-375.08554470	-0.00002441
-375.05221136	0.00065446
-375.01887802	-0.00050490
